julia> optimize!(autrans)
# Variables: 280
# Constraints: 43
 - # Equality: 35
 - # Inequality: 8

   #Open      #Closed         Incumbent             Best Bound        Time [s]  
================================================================================
     2           0                -                0.0000000000         0.26    
    180        48740              -                0.0000000000         5.26    
    181        74769              -                0.0000000000        10.26    
    185        93267              -                0.0000000000        15.26    
    181        108041             -                0.0000000000        20.26    
    183        120829             -                0.0000000000        25.26    
    180        132068             -                0.0000000000        30.26    
    180        142418             -                0.0000000000        35.26    
    180        151898             -                0.0000000000        40.26    
    182        160770             -                0.0000000000        45.26    
    185        169153             -                0.0000000000        50.27    
    180        176956             -                0.0000000000        55.27    
    183        184553             -                0.0000000000        60.27    
    181        190691             -                0.0000000000        65.27    
    181        197721             -                0.0000000000        70.27    
    180        204524             -                0.0000000000        75.27    
    181        211089             -                0.0000000000        80.27    
    184        217130             -                0.0000000000        85.27    
    184        223390             -                0.0000000000        90.27    
    182        229470             -                0.0000000000        95.27    
    181        235405             -                0.0000000000        100.27   
    180        241232             -                0.0000000000        105.27   
    178        246914             -                0.0000000000        110.27   
    180        252474             -                0.0000000000        115.28   
    181        257911             -                0.0000000000        120.28   
    180        262808             -                0.0000000000        125.28   
    182        267348             -                0.0000000000        130.28   
    182        272524             -                0.0000000000        135.28   
    181        277595             -                0.0000000000        140.28   
    179        282587             -                0.0000000000        145.28   
    179        287501             -                0.0000000000        150.28   
    180        292326             -                0.0000000000        155.28   
    181        297075             -                0.0000000000        160.29   
    181        301753             -                0.0000000000        165.29   
    182        306348             -                0.0000000000        170.29   
    179        310893             -                0.0000000000        175.29   
    180        315370             -                0.0000000000        180.29   
    182        319780             -                0.0000000000        185.29   
    181        323847             -                0.0000000000        190.29   
    179        327639             -                0.0000000000        195.30   
    179        331741             -                0.0000000000        200.30   
    182        335940             -                0.0000000000        205.30   
    180        340096             -                0.0000000000        210.30   
    180        344212             -                0.0000000000        215.30   
    181        348089             -                0.0000000000        220.30   
    179        352113             -                0.0000000000        225.30   
    180        356082             -                0.0000000000        230.30   
    180        360004             -                0.0000000000        235.30   
    180        363898             -                0.0000000000        240.31   
    180        367694             -                0.0000000000        245.31   
    180        371362             -                0.0000000000        250.31   
    178        374810             -                0.0000000000        255.31   
    183        378345             -                0.0000000000        260.31   
    181        382055             -                0.0000000000        265.31   
    182        385556             -                0.0000000000        270.31   
    179        389213             -                0.0000000000        275.31   
    178        392830             -                0.0000000000        280.32   
    180        396386             -                0.0000000000        285.32   
    178        399832             -                0.0000000000        290.32   
    180        403384             -                0.0000000000        295.32   
    182        406906             -                0.0000000000        300.32   
    177        410341             -                0.0000000000        305.32   
    180        413774             -                0.0000000000        310.32   
    180        417178             -                0.0000000000        315.33   
    179        420043             -                0.0000000000        320.33   
    177        423273             -                0.0000000000        325.33   
    180        426702             -                0.0000000000        330.33   
    179        430095             -                0.0000000000        335.33   
    179        433459             -                0.0000000000        340.34   
    181        436785             -                0.0000000000        345.34   
    180        439966             -                0.0000000000        350.34   
    181        443265             -                0.0000000000        355.34   
    177        446375             -                0.0000000000        360.34   
    178        449624             -                0.0000000000        365.34   
    178        452834             -                0.0000000000        370.34   
    179        456037             -                0.0000000000        375.35   
    180        459230             -                0.0000000000        380.35   
    180        461942             -                0.0000000000        385.35   
    179        465045             -                0.0000000000        390.35   
    178        468064             -                0.0000000000        395.35   
    180        471190             -                0.0000000000        400.35   
    179        474295             -                0.0000000000        405.35   
    179        477379             -                0.0000000000        410.35   
    182        480442             -                0.0000000000        415.36   
    183        483503             -                0.0000000000        420.36   
    179        486505             -                0.0000000000        425.36   
    180        489410             -                0.0000000000        430.36   
    180        492426             -                0.0000000000        435.36   
    181        495423             -                0.0000000000        440.36   
    181        498333             -                0.0000000000        445.37   
    180        500984             -                0.0000000000        450.37   
    178        503976             -                0.0000000000        455.37   
    178        506960             -                0.0000000000        460.37   
    179        509771             -                0.0000000000        465.38   
    180        512726             -                0.0000000000        470.38   
    180        515658             -                0.0000000000        475.38   
    178        518592             -                0.0000000000        480.38   
    181        521503             -                0.0000000000        485.38   
    178        524288             -                0.0000000000        490.48   
    178        527018             -                0.0000000000        495.49   
    177        529897             -                0.0000000000        500.49   
    180        532752             -                0.0000000000        505.49   
    181        535425             -                0.0000000000        510.49   
    178        537984             -                0.0000000000        515.49   
    177        540807             -                0.0000000000        520.50   
    179        543623             -                0.0000000000        525.50   
    182        546428             -                0.0000000000        530.50   
    178        549066             -                0.0000000000        535.50   
    178        551850             -                0.0000000000        540.51   
    179        554583             -                0.0000000000        545.51   
    180        557282             -                0.0000000000        550.51   
    178        560028             -                0.0000000000        555.51   
    181        562767             -                0.0000000000        560.51   
    179        565487             -                0.0000000000        565.51   
    177        568165             -                0.0000000000        570.51   
    178        570492             -                0.0000000000        575.52   
    177        573055             -                0.0000000000        580.52   
    181        575735             -                0.0000000000        585.52   
    180        578416             -                0.0000000000        590.52   
    179        581081             -                0.0000000000        595.52   
    181        583743             -                0.0000000000        600.53   
    178        586346             -                0.0000000000        605.53   
    179        588881             -                0.0000000000        610.53   
    176        591516             -                0.0000000000        615.53   
    176        594122             -                0.0000000000        620.53   
    178        596736             -                0.0000000000        625.53   
    176        599344             -                0.0000000000        630.53   
    179        601897             -                0.0000000000        635.53   
    179        603961             -                0.0000000000        640.54   
    179        606323             -                0.0000000000        645.54   
    179        608849             -                0.0000000000        650.54   
    178        611320             -                0.0000000000        655.54   
    179        613815             -                0.0000000000        660.54   
    181        616289             -                0.0000000000        665.54
